id	date	fajr	maghrib	region_id
422	2021-04-28	3:48:00	19:06:00	14
423	2021-04-29	3:47:00	19:07:00	14
424	2021-04-30	3:45:00	19:08:00	14
425	2021-05-01	3:43:00	19:09:00	14
426	2021-05-02	3:41:00	19:10:00	14
427	2021-05-03	3:40:00	19:11:00	14
428	2021-05-04	3:38:00	19:12:00	14
429	2021-05-05	3:36:00	19:13:00	14
430	2021-05-06	3:35:00	19:14:00	14
431	2021-05-07	3:33:00	19:15:00	14
432	2021-05-08	3:32:00	19:16:00	14
433	2021-05-09	3:30:00	19:18:00	14
434	2021-05-10	3:29:00	19:18:00	14
435	2021-05-11	3:27:00	19:19:00	14
436	2021-05-12	3:26:00	19:20:00	14
437	2021-04-13	4:49:00	19:22:00	15
438	2021-04-14	4:48:00	19:23:00	15
439	2021-04-15	4:46:00	19:24:00	15
440	2021-04-16	4:44:00	19:25:00	15
441	2021-04-17	4:42:00	19:26:00	15
442	2021-04-18	4:40:00	19:27:00	15
443	2021-04-19	4:38:00	19:28:00	15
444	2021-04-20	4:37:00	19:28:00	15
445	2021-04-21	4:35:00	19:29:00	15
446	2021-04-22	4:33:00	19:31:00	15
447	2021-04-23	4:31:00	19:32:00	15
448	2021-04-24	4:29:00	19:33:00	15
449	2021-04-25	4:28:00	19:34:00	15
450	2021-04-26	4:26:00	19:35:00	15
451	2021-04-27	4:24:00	19:36:00	15
452	2021-04-28	4:22:00	19:37:00	15
453	2021-04-29	4:21:00	19:38:00	15
454	2021-04-30	4:20:00	19:39:00	15
455	2021-05-01	4:18:00	19:40:00	15
456	2021-05-02	4:16:00	19:41:00	15
457	2021-05-03	4:15:00	19:42:00	15
458	2021-05-04	4:13:00	19:43:00	15
459	2021-05-05	4:11:00	19:44:00	15
460	2021-05-06	4:10:00	19:45:00	15
461	2021-05-07	4:08:00	19:46:00	15
462	2021-05-08	4:07:00	19:47:00	15
463	2021-05-09	4:05:00	19:49:00	15
464	2021-05-10	4:05:00	19:49:00	15
465	2021-05-11	4:03:00	19:50:00	15
466	2021-05-12	4:02:00	19:51:00	15
467	2021-04-13	4:30:00	19:05:00	16
468	2021-04-14	4:29:00	19:06:00	16
469	2021-04-15	4:27:00	19:07:00	16
470	2021-04-16	4:25:00	19:08:00	16
471	2021-04-17	4:23:00	19:09:00	16
472	2021-04-18	4:21:00	19:10:00	16
473	2021-04-19	4:19:00	19:11:00	16
474	2021-04-20	4:18:00	19:11:00	16
475	2021-04-21	4:16:00	19:12:00	16
476	2021-04-22	4:14:00	19:14:00	16
477	2021-04-23	4:12:00	19:15:00	16
478	2021-04-24	4:10:00	19:16:00	16
